interview__key,METODO,Coord1__Latitude,Coord1__Longitude, EDAD , GENERO ,INT DE VOTO X ESPACIO,RADIO
341155001820,IVR,-32.93822390,-60.64029130,56 y mas, Masculino ,FdT,820842108
341155002663,IVR,-32.96351430,-60.72682800,56 y mas, Masculino ,FdT,820842511
341155003003,IVR,-32.99059910,-60.62172790,46 a 55, Masculino ,FdT,820840901
341155006079,IVR,-32.95870220,-60.69304160,26 a 35, Femenino ,FdT,820840705
341155007331,IVR,-32.82005470,-60.72409660,16 a 25, Masculino ,JxC,820843613
341155009200,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,LIBERTARIOS,820841912
341155010631,IVR,-32.90466280,-60.69248880,56 y mas, Masculino ,OTROS,820841602
341155013384,IVR,-32.94697190,-60.63193240,56 y mas, Masculino ,LIBERTARIOS,820842813
341155017878,IVR,-32.91736880,-60.81869620,36 a 45, Femenino ,LIBERTARIOS,820845407
341155022573,IVR,-32.94385500,-60.67625850,36 a 45, Femenino ,OTROS,820841216
341155023609,IVR,-32.81280260,-60.72637490,56 y mas, Masculino ,JxC,820842315
341155027401,IVR,-32.91608820,-60.67972480,26 a 35, Masculino ,JxC,820843602
341155030689,IVR,-32.95265790,-60.67686580,36 a 45, Femenino ,FdT,820845404
341155034030,IVR,-32.95448100,-60.64404580,46 a 55, Masculino ,LIBERTARIOS,820841107
341155035344,IVR,-32.88716130,-60.72634070,36 a 45, Masculino ,FdT,820843604
341155036610,IVR,-32.89721940,-60.70439370,36 a 45, Femenino ,NINGUNO/NOSABE,820843804
341155053367,IVR,-32.94697190,-60.63193240,46 a 55, Femenino ,NINGUNO/NOSABE,820841609
341155056548,IVR,-32.94999460,-60.70769720,56 y mas, Femenino ,JxC,820840511
341155057907,IVR,-32.95460570,-60.63291120,56 y mas, Femenino ,JxC,820844524
341155058222,IVR,-32.88158240,-60.73972060,56 y mas, Masculino ,LIBERTARIOS,820848604
341155060873,IVR,-32.93939670,-60.70570480,36 a 45, Masculino ,JxC,820842113
341155061009,IVR,-32.90531120,-60.69865400,16 a 25, Femenino ,FdT,820840702
341155069025,IVR,-32.94697190,-60.63193240,56 y mas, Femenino ,NINGUNO/NOSABE,820841502
341155079689,IVR,-32.89262320,-60.71441290,36 a 45, Masculino ,PNK,821190805
341155080002,IVR,-32.89366500,-60.70851700,56 y mas, Masculino ,JxC,820842114
341155081199,IVR,-32.82005470,-60.72409660,46 a 55, Masculino ,JxC,821190911
341155081278,IVR,-32.73304790,-60.73575700,56 y mas, Femenino ,JxC,820840703
341155086199,IVR,-32.94360700,-60.67306130,36 a 45, Masculino ,FdT,820840408
341155087590,IVR,-32.93902170,-60.63828500,56 y mas, Masculino ,JxC,820842017
341155089579,IVR,-32.92541040,-60.70724690,56 y mas, Masculino ,NINGUNO/NOSABE,820842502
341155091949,IVR,-32.91610600,-60.72024470,36 a 45, Masculino ,NINGUNO/NOSABE,820844901
341155095065,IVR,-32.93701660,-60.65742910,56 y mas, Masculino ,LIBERTARIOS,820844901
341155095717,IVR,-32.93601220,-60.64436580,36 a 45, Masculino ,OTROS,820842509
341155098033,IVR,-32.99723950,-60.64267180,46 a 55, Femenino ,FdT,820842506
341155098205,IVR,-32.95870220,-60.69304160,46 a 55, Masculino ,JxC,820848703
341155100137,IVR,-32.90466280,-60.69248880,56 y mas, Masculino ,FdT,820848109
341155104916,IVR,-32.97064740,-60.66178460,36 a 45, Femenino ,FdT,820848007
341155107573,IVR,-32.89925340,-60.69801250,46 a 55, Femenino ,JxC,820842704
341155153966,IVR,-32.95459500,-60.65174500,56 y mas, Femenino ,NINGUNO/NOSABE,820842107
341155197758,IVR,-32.97216120,-60.62583300,56 y mas, Masculino ,JxC,820844502
341155200180,IVR,-32.91166840,-60.71659380,46 a 55, Masculino ,JxC,820843602
341155204149,IVR,-32.88837800,-60.69668830,36 a 45, Masculino ,FdT,820842107
341155204348,IVR,-32.94344010,-60.63583640,56 y mas, Masculino ,JxC,820841006
341155208046,IVR,-32.95870220,-60.69304160,56 y mas, Masculino ,PNK,820848102
341155209036,IVR,-32.82057970,-60.71038510,46 a 55, Otro ,NINGUNO/NOSABE,820840506
341155209207,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,LIBERTARIOS,821190403
341155209249,IVR,-32.98465300,-60.73137800,36 a 45, Masculino ,NINGUNO/NOSABE,820845310
341155215789,IVR,-32.99879690,-60.68346160,46 a 55, Femenino ,OTROS,820848314
341155325591,IVR,-32.88837800,-60.69668830,36 a 45, Masculino ,LIBERTARIOS,820846113
341155440830,IVR,-32.96542570,-60.67635680,36 a 45, Masculino ,OTROS,820845202
341155551045,IVR,-32.93756500,-60.66741240,16 a 25, Masculino ,FIT,820848102
341155591607,IVR,-32.92476910,-60.66651430,46 a 55, Femenino ,NINGUNO/NOSABE,821190418
341155662391,IVR,-32.90576300,-60.69348830,36 a 45, Femenino ,JxC,820844303
341155666461,IVR,-32.96438410,-60.63253000,46 a 55, Femenino ,LIBERTARIOS,820848302
341155667492,IVR,-32.94740200,-60.69811870,26 a 35, Masculino ,NINGUNO/NOSABE,820840802
341155667602,IVR,-32.99501250,-60.62747780,36 a 45, Masculino ,PNK,820844822
341155715889,IVR,-32.95265790,-60.67686580,26 a 35, Femenino ,NINGUNO/NOSABE,820845204
341155717311,IVR,-32.88997510,-60.69130640,36 a 45, Otro ,FIT,820845805
341155717660,IVR,-32.9643841,-60.63253,56 y mas, Femenino ,NINGUNO/NOSABE,820844008
341155769041,IVR,-32.92662390,-60.72707460,36 a 45, Masculino ,FdT,820845704
341155769041,IVR,-32.92662390,-60.72707460,36 a 45, Masculino ,FdT,820845704
341155769041,IVR,-32.92662390,-60.72707460,36 a 45, Masculino ,FdT,820845704
341155775521,IVR,-32.97904310,-60.68919090,56 y mas, Femenino ,LIBERTARIOS,820846104
341155780441,IVR,-32.94804120,-60.64312590,56 y mas, Masculino ,JxC,820841214
341155786102,IVR,-32.94697190,-60.63193240,46 a 55, Femenino ,JxC,820842308
341155788604,IVR,-32.94697190,-60.63193240,36 a 45, Femenino ,JxC,820841711
341155789497,IVR,-32.96522960,-60.65813230,46 a 55, Masculino ,FdT,821190804
341155789830,IVR,-32.94239850,-60.64730620,56 y mas, Masculino ,JxC,820840307
341155790237,IVR,-32.96996970,-60.64861640,46 a 55, Femenino ,OTROS,820842107
341155793493,IVR,-32.95870220,-60.69304160,26 a 35, Femenino ,NINGUNO/NOSABE,820840412
341155795268,IVR,-32.78056010,-60.73178100,56 y mas, Femenino ,PNK,820844407
341155796322,IVR,-32.94385500,-60.67625850,56 y mas, Masculino ,FdT,820845601
341155797150,IVR,-32.97297240,-60.65973540,36 a 45, Femenino ,NINGUNO/NOSABE,820842507
341155800034,IVR,-32.91608820,-60.67972480,46 a 55, Masculino ,JxC,820848515
341155800877,IVR,-32.95870220,-60.69304160,56 y mas, Femenino ,FdT,820842002
341155806241,IVR,-32.94100020,-60.68829470,46 a 55, Femenino ,OTROS,820843108
341155824880,IVR,-32.95331540,-60.68117700,56 y mas, Masculino ,FdT,820842014
341155825191,IVR,-32.90235950,-60.71059370,26 a 35, Masculino ,LIBERTARIOS,820844002
341155850977,IVR,-32.97750580,-60.67874850,56 y mas, Masculino ,LIBERTARIOS,820840402
341155873083,IVR,-32.95754950,-60.66876560,56 y mas, Femenino ,PNK,820841005
341155879400,IVR,-32.97526070,-60.68861450,56 y mas, Femenino ,FdT,820842701
341155882941,IVR,-32.97451870,-60.64579340,36 a 45, Femenino ,JxC,820840720
341155885210,IVR,-32.97507750,-60.67672720,36 a 45, Masculino ,PNK,820848516
341155887276,IVR,-32.91699600,-60.81081230,26 a 35, Masculino ,LIBERTARIOS,820840722
